CMDLINE d:\Dropbox\hobby\Modding\Programs\Github\My_Repos\Antistasi_Logbook\.venv\Scripts\python.exe d:\Dropbox\hobby\Modding\Programs\Github\My_Repos\Antistasi_Logbook\antistasi_logbook\__main__.py
MEM 404.246094 1672725608.5333
MEM 404.246094 1672725608.6410
MEM 404.246094 1672725608.7497
MEM 404.246094 1672725608.8574
MEM 404.246094 1672725608.9661
MEM 404.957031 1672725609.0738
MEM 406.894531 1672725609.1826
MEM 408.785156 1672725609.2903
MEM 410.703125 1672725609.3990
MEM 411.136719 1672725609.5067
MEM 382.656250 1672725609.6154
MEM 385.828125 1672725609.7231
MEM 386.238281 1672725609.8318
MEM 387.777344 1672725609.9395
MEM 389.667969 1672725610.0472
MEM 389.992188 1672725610.1560
MEM 468.628906 1672725610.2647
MEM 484.339844 1672725610.3724
MEM 392.679688 1672725610.4811
MEM 391.679688 1672725610.5888
MEM 392.285156 1672725610.6975
MEM 393.437500 1672725610.8062
MEM 395.671875 1672725610.9159
MEM 488.570312 1672725611.0216
MEM 552.562500 1672725611.1313
MEM 584.464844 1672725611.2381
MEM 487.656250 1672725611.3468
MEM 391.835938 1672725611.4545
MEM 391.847656 1672725611.5632
MEM 391.855469 1672725611.6709
MEM 391.859375 1672725611.7796
MEM 391.867188 1672725611.8873
MEM 391.867188 1672725611.9960
MEM 391.867188 1672725612.1037
MEM 397.757812 1672725612.2125
MEM 405.218750 1672725612.3212
MEM 397.906250 1672725612.4289
MEM 399.101562 1672725612.5366
MEM 399.125000 1672725612.6443
MEM 399.148438 1672725612.7530
MEM 399.171875 1672725612.8617
MEM 399.160156 1672725612.9694
MEM 407.988281 1672725613.0781
MEM 407.988281 1672725613.1859
MEM 407.988281 1672725613.2946
MEM 407.988281 1672725613.4033
MEM 407.988281 1672725613.5130
MEM 407.988281 1672725613.6197
MEM 407.988281 1672725613.7284
MEM 407.988281 1672725613.8361
MEM 407.988281 1672725613.9448
MEM 407.988281 1672725614.0525
MEM 407.988281 1672725614.1613
MEM 409.425781 1672725614.2690
MEM 411.394531 1672725614.3777
MEM 411.765625 1672725614.4864
MEM 405.472656 1672725614.5941
MEM 407.394531 1672725614.7018
MEM 409.355469 1672725614.8105
MEM 411.269531 1672725614.9182
MEM 413.242188 1672725615.0269
MEM 415.191406 1672725615.1346
MEM 417.109375 1672725615.2434
MEM 419.031250 1672725615.3511
MEM 419.910156 1672725615.4598
MEM 420.214844 1672725615.5675
MEM 420.253906 1672725615.6762
MEM 420.621094 1672725615.7839
MEM 421.335938 1672725615.8926
MEM 433.402344 1672725616.0014
MEM 616.269531 1672725616.1100
MEM 616.269531 1672725616.2168
MEM 616.687500 1672725616.3255
MEM 616.523438 1672725616.4332
MEM 432.554688 1672725616.5419
MEM 523.699219 1672725616.6496
MEM 527.644531 1672725616.7573
MEM 527.656250 1672725616.8660
MEM 527.656250 1672725616.9747
MEM 429.597656 1672725617.0825
MEM 429.601562 1672725617.1911
MEM 429.613281 1672725617.2989
MEM 429.625000 1672725617.4076
MEM 429.625000 1672725617.5153
MEM 429.625000 1672725617.6240
MEM 429.625000 1672725617.7317
MEM 429.628906 1672725617.8404
MEM 438.125000 1672725617.9481
MEM 443.398438 1672725618.0569
MEM 444.062500 1672725618.1645
MEM 435.488281 1672725618.2743
MEM 445.101562 1672725618.3810
MEM 449.972656 1672725618.4897
MEM 454.660156 1672725618.5984
MEM 454.843750 1672725618.7061
MEM 454.839844 1672725618.8138
MEM 454.839844 1672725618.9215
MEM 455.093750 1672725619.0312
MEM 457.183594 1672725619.1389
MEM 457.367188 1672725619.2476
MEM 457.367188 1672725619.3554
MEM 457.371094 1672725619.4631
MEM 457.371094 1672725619.5728
MEM 457.371094 1672725619.6795
MEM 457.371094 1672725619.7882
MEM 457.371094 1672725619.8959
MEM 457.371094 1672725620.0046
MEM 457.367188 1672725620.1123
MEM 457.367188 1672725620.2210
MEM 433.250000 1672725620.3288
MEM 436.640625 1672725620.4375
MEM 436.640625 1672725620.5452
MEM 437.878906 1672725620.6539
MEM 440.742188 1672725620.7616
MEM 444.925781 1672725620.8703
MEM 449.398438 1672725620.9780
MEM 452.683594 1672725621.0867
MEM 454.859375 1672725621.1944
MEM 456.898438 1672725621.3032
MEM 459.636719 1672725621.4109
MEM 461.894531 1672725621.5196
MEM 463.945312 1672725621.6273
MEM 465.992188 1672725621.7360
MEM 468.019531 1672725621.8447
MEM 469.972656 1672725621.9514
MEM 472.000000 1672725622.0591
MEM 474.046875 1672725622.1678
MEM 476.058594 1672725622.2756
MEM 478.105469 1672725622.3843
MEM 481.429688 1672725622.4920
MEM 481.863281 1672725622.6007
MEM 482.070312 1672725622.7084
MEM 460.835938 1672725622.8171
MEM 462.828125 1672725622.9248
MEM 462.839844 1672725623.0345
MEM 463.152344 1672725623.1412
MEM 465.164062 1672725623.2489
MEM 467.261719 1672725623.3577
MEM 469.351562 1672725623.4654
MEM 471.437500 1672725623.5731
MEM 473.566406 1672725623.6818
MEM 475.667969 1672725623.7895
MEM 477.796875 1672725623.8982
MEM 479.878906 1672725624.0059
MEM 481.964844 1672725624.1147
MEM 482.210938 1672725624.2224
MEM 483.054688 1672725624.3311
MEM 484.394531 1672725624.4388
MEM 485.128906 1672725624.5475
MEM 486.593750 1672725624.6552
MEM 486.640625 1672725624.7639
MEM 486.640625 1672725624.8716
MEM 487.980469 1672725624.9803
MEM 488.597656 1672725625.0880
MEM 486.683594 1672725625.1967
MEM 487.097656 1672725625.3045
MEM 487.253906 1672725625.4132
MEM 487.824219 1672725625.5209
MEM 487.839844 1672725625.6296
MEM 487.839844 1672725625.7373
MEM 487.843750 1672725625.8460
MEM 487.843750 1672725625.9537
MEM 487.843750 1672725626.0624
MEM 487.851562 1672725626.1701
MEM 487.792969 1672725626.2788
MEM 487.796875 1672725626.3866
MEM 487.800781 1672725626.4953
MEM 487.800781 1672725626.6030
MEM 488.816406 1672725626.7117
MEM 487.785156 1672725626.8194
MEM 488.890625 1672725626.9291
MEM 489.074219 1672725627.0358
MEM 489.074219 1672725627.1445
MEM 489.074219 1672725627.2522
MEM 489.074219 1672725627.3610
MEM 489.074219 1672725627.4687
MEM 489.074219 1672725627.5774
MEM 489.074219 1672725627.6851
MEM 489.074219 1672725627.7938
MEM 489.074219 1672725627.9015
MEM 489.859375 1672725628.0102
MEM 489.859375 1672725628.1179
MEM 490.328125 1672725628.2256
MEM 492.160156 1672725628.3344
MEM 493.324219 1672725628.4431
MEM 494.070312 1672725628.5508
MEM 494.937500 1672725628.6595
MEM 494.941406 1672725628.7672
MEM 495.140625 1672725628.8759
MEM 495.910156 1672725628.9836
MEM 496.136719 1672725629.0923
MEM 497.511719 1672725629.2000
MEM 494.296875 1672725629.3087
MEM 493.738281 1672725629.4165
MEM 599.582031 1672725629.5242
MEM 598.238281 1672725629.6339
MEM 593.824219 1672725629.7406
MEM 686.359375 1672725629.8493
MEM 792.285156 1672725629.9590
MEM 695.570312 1672725630.0647
MEM 695.027344 1672725630.1744
MEM 695.027344 1672725630.2821
MEM 695.027344 1672725630.3899
MEM 695.042969 1672725630.4986
MEM 695.042969 1672725630.6063
MEM 591.085938 1672725630.7140
MEM 591.085938 1672725630.8227
MEM 591.085938 1672725630.9304
MEM 487.152344 1672725631.0391
MEM 487.152344 1672725631.1468
MEM 487.152344 1672725631.2555
MEM 487.406250 1672725631.3633
MEM 494.593750 1672725631.4720
MEM 500.738281 1672725631.5797
MEM 512.781250 1672725631.6884
MEM 524.832031 1672725631.7961
MEM 537.250000 1672725631.9048
MEM 557.472656 1672725632.0125
MEM 558.714844 1672725632.1212
MEM 560.347656 1672725632.2300
MEM 627.304688 1672725632.3377
MEM 574.941406 1672725632.4454
MEM 664.394531 1672725632.5541
MEM 674.535156 1672725632.6618
MEM 588.531250 1672725632.7705
MEM 609.980469 1672725632.8782
MEM 609.992188 1672725632.9869
MEM 609.996094 1672725633.0956
MEM 610.023438 1672725633.2033
MEM 610.062500 1672725633.3110
MEM 610.093750 1672725633.4208
MEM 610.101562 1672725633.5275
MEM 610.101562 1672725633.6372
MEM 610.101562 1672725633.7449
MEM 610.105469 1672725633.8526
MEM 610.109375 1672725633.9603
MEM 610.113281 1672725634.0690
MEM 610.148438 1672725634.1767
MEM 610.148438 1672725634.2854
MEM 523.222656 1672725634.3932
MEM 523.222656 1672725634.5019
MEM 523.226562 1672725634.6096
MEM 523.261719 1672725634.7183
MEM 523.261719 1672725634.8260
MEM 523.261719 1672725634.9347
MEM 523.261719 1672725635.0425
MEM 523.269531 1672725635.1511
MEM 523.312500 1672725635.2588
MEM 525.273438 1672725635.3676
MEM 529.195312 1672725635.4763
MEM 526.257812 1672725635.5840
MEM 526.304688 1672725635.6917
MEM 526.410156 1672725635.8004
MEM 557.871094 1672725635.9101
MEM 632.175781 1672725636.0178
MEM 640.492188 1672725636.1245
MEM 646.421875 1672725636.2342
MEM 644.500000 1672725636.3409
MEM 644.503906 1672725636.4487
MEM 545.507812 1672725636.5574
MEM 545.507812 1672725636.6661
MEM 545.507812 1672725636.7738
MEM 543.574219 1672725636.8825
MEM 543.695312 1672725636.9902
MEM 543.730469 1672725637.0980
MEM 636.515625 1672725637.2067
MEM 543.746094 1672725637.3155
MEM 543.746094 1672725637.4242
MEM 543.753906 1672725637.5309
MEM 546.968750 1672725637.6396
MEM 575.433594 1672725637.7483
MEM 575.457031 1672725637.8560
MEM 574.015625 1672725637.9627
MEM 574.023438 1672725638.0715
MEM 574.023438 1672725638.1781
MEM 574.023438 1672725638.2868
MEM 574.023438 1672725638.3956
MEM 574.062500 1672725638.5043
MEM 574.062500 1672725638.6110
MEM 574.062500 1672725638.7197
MEM 574.062500 1672725638.8274
MEM 574.101562 1672725638.9361
MEM 574.101562 1672725639.0439
MEM 523.855469 1672725639.1525
MEM 523.855469 1672725639.2603
MEM 523.855469 1672725639.3700
MEM 523.937500 1672725639.4767
MEM 524.117188 1672725639.5854
MEM 525.292969 1672725639.6931
MEM 525.308594 1672725639.8018
MEM 524.324219 1672725639.9095
MEM 524.742188 1672725640.0182
MEM 531.210938 1672725640.1259
MEM 529.378906 1672725640.2356
MEM 529.382812 1672725640.3424
MEM 529.382812 1672725640.4501
MEM 529.382812 1672725640.5578
MEM 529.382812 1672725640.6655
MEM 529.382812 1672725640.7742
MEM 529.382812 1672725640.8819
MEM 531.796875 1672725640.9896
MEM 531.800781 1672725641.0973
MEM 531.800781 1672725641.2050
MEM 531.800781 1672725641.3138
MEM 531.800781 1672725641.4215
MEM 527.011719 1672725641.5302
MEM 527.011719 1672725641.6379
MEM 527.011719 1672725641.7466
MEM 527.011719 1672725641.8543
MEM 527.011719 1672725641.9630
MEM 527.011719 1672725642.0708
MEM 527.011719 1672725642.1795
MEM 527.011719 1672725642.2872
MEM 527.011719 1672725642.3959
MEM 527.011719 1672725642.5036
MEM 527.011719 1672725642.6123
MEM 527.011719 1672725642.7200
MEM 527.011719 1672725642.8297
MEM 527.011719 1672725642.9364
MEM 527.011719 1672725643.0451
MEM 527.011719 1672725643.1529
MEM 527.011719 1672725643.2615
MEM 527.011719 1672725643.3693
MEM 527.011719 1672725643.4780
MEM 527.011719 1672725643.5857
MEM 527.011719 1672725643.6944
MEM 527.011719 1672725643.8021
MEM 527.875000 1672725643.9108
MEM 527.875000 1672725644.0186
MEM 529.093750 1672725644.1273
MEM 531.054688 1672725644.2349
MEM 531.183594 1672725644.3437
MEM 531.218750 1672725644.4514
MEM 631.164062 1672725644.5601
MEM 631.171875 1672725644.6678
MEM 631.171875 1672725644.7765
MEM 631.171875 1672725644.8852
MEM 631.207031 1672725644.9929
MEM 631.488281 1672725645.1016
MEM 531.929688 1672725645.2093
MEM 531.960938 1672725645.3181
MEM 610.792969 1672725645.4268
MEM 532.050781 1672725645.5335
MEM 538.425781 1672725645.6422
MEM 637.574219 1672725645.7499
MEM 637.574219 1672725645.8586
MEM 637.574219 1672725645.9663
MEM 637.574219 1672725646.0740
MEM 637.695312 1672725646.1827
MEM 532.214844 1672725646.2904
MEM 532.214844 1672725646.3992
MEM 532.218750 1672725646.5069
MEM 532.218750 1672725646.6156
MEM 532.218750 1672725646.7233
MEM 532.230469 1672725646.8330
MEM 532.230469 1672725646.9397
MEM 532.234375 1672725647.0484
MEM 532.234375 1672725647.1561
MEM 532.246094 1672725647.2649
MEM 532.246094 1672725647.3736
MEM 532.246094 1672725647.4813
MEM 532.246094 1672725647.5890
MEM 538.371094 1672725647.6967
MEM 538.460938 1672725647.8054
MEM 539.441406 1672725647.9141
MEM 539.441406 1672725648.0218
MEM 539.441406 1672725648.1315
MEM 539.441406 1672725648.2383
MEM 539.441406 1672725648.3470
MEM 539.441406 1672725648.4547
MEM 539.453125 1672725648.5634
MEM 533.992188 1672725648.6711
MEM 533.992188 1672725648.7798
MEM 534.023438 1672725648.8885
MEM 534.023438 1672725648.9962
MEM 534.023438 1672725649.1039
MEM 534.023438 1672725649.2137
MEM 534.023438 1672725649.3203
MEM 539.488281 1672725649.4291
MEM 539.488281 1672725649.5368
MEM 539.488281 1672725649.6465
MEM 539.488281 1672725649.7542
MEM 539.488281 1672725649.8619
MEM 539.488281 1672725649.9696
MEM 539.488281 1672725650.0783
MEM 539.488281 1672725650.1860
MEM 539.488281 1672725650.2948
MEM 540.878906 1672725650.4025
MEM 542.843750 1672725650.5112
MEM 544.820312 1672725650.6189
MEM 546.773438 1672725650.7276
MEM 547.601562 1672725650.8353
MEM 547.601562 1672725650.9440
MEM 547.601562 1672725651.0517
MEM 542.140625 1672725651.1604
MEM 542.140625 1672725651.2681
MEM 542.140625 1672725651.3769
MEM 542.152344 1672725651.4846
MEM 542.183594 1672725651.5933
MEM 542.183594 1672725651.7010
MEM 542.203125 1672725651.8087
MEM 542.234375 1672725651.9164
MEM 542.246094 1672725652.0241
MEM 610.023438 1672725652.1328
MEM 638.902344 1672725652.2405
MEM 638.902344 1672725652.3483
MEM 544.289062 1672725652.4570
MEM 542.355469 1672725652.5647
MEM 542.355469 1672725652.6734
MEM 542.355469 1672725652.7811
MEM 542.359375 1672725652.8898
MEM 542.464844 1672725652.9975
MEM 542.550781 1672725653.1053
MEM 542.550781 1672725653.2139
